FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
6747,Lawsons Long Alley, ,2006-07 Wildfire,2006/11/14 00:00:00+00,2007/01/03 00:00:00+00,30.42906566,2813.66458808,26/03/2020,Wildfire,2006-07,6802,2006,2006/01/01 00:00:00+00,303723.125,2811.03948618128
6748,Lawsons Long Alley, ,2006-07 Wildfire,2006/11/14 00:00:00+00,2007/01/03 00:00:00+00,3.79653429,953.81097581,26/03/2020,Wildfire,2006-07,6803,2006,2006/01/01 00:00:00+00,37894.5078125,952.920821061302
6749,Lawsons Long Alley, ,2006-07 Wildfire,2006/11/14 00:00:00+00,2007/01/03 00:00:00+00,2.36617559,571.8548047,26/03/2020,Wildfire,2006-07,6804,2006,2006/01/01 00:00:00+00,23618.57421875,571.332710045273
6750,Lawsons Long Alley, ,2006-07 Wildfire,2006/11/14 00:00:00+00,2007/01/03 00:00:00+00,14644.4030399,150288.979645,26/03/2020,Wildfire,2006-07,6805,2006,2006/01/01 00:00:00+00,146171304.796875,150149.104129477
6751,Lawsons Long Alley, ,2006-07 Wildfire,2006/11/14 00:00:00+00,2007/01/03 00:00:00+00,426.67380499,17689.6800434,26/03/2020,Wildfire,2006-07,6806,2006,2006/01/01 00:00:00+00,4258767.9375,17673.1458610098
6752,Lawsons Long Alley, ,2006-07 Wildfire,2006/11/14 00:00:00+00,2007/01/03 00:00:00+00,88.93750132,8078.20537073,26/03/2020,Wildfire,2006-07,6807,2006,2006/01/01 00:00:00+00,887717.625,8070.67684717311
6753,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,0.06699924,103.18721359,26/03/2020,Wildfire,2006-07,6808,2006,2006/01/01 00:00:00+00,668.84375,103.098692930832
6754,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,0.01899796,62.65889545,26/03/2020,Wildfire,2006-07,6809,2006,2006/01/01 00:00:00+00,189.65625,62.6052126808741
6755,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,0.15511236,163.94222367,26/03/2020,Wildfire,2006-07,6810,2006,2006/01/01 00:00:00+00,1548.4609375,163.80146693984
6756,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,0.05457652,100.38609389,26/03/2020,Wildfire,2006-07,6811,2006,2006/01/01 00:00:00+00,544.828125,100.300028212283
6757,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,0.06403943,108.81703014,26/03/2020,Wildfire,2006-07,6812,2006,2006/01/01 00:00:00+00,639.296875,108.723749181375
6758,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,6719.76851301,85021.5253149,26/03/2020,Wildfire,2006-07,6813,2006,2006/01/01 00:00:00+00,67083805.5078125,84949.4587789993
6759,Bylong Complex, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/12/29 00:00:00+00,64.23980646,3800.69272515,26/03/2020,Wildfire,2006-07,6814,2006,2006/01/01 00:00:00+00,641322.3203125,3797.50923785904
6760,Wallaby Rock, ,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/29 00:00:00+00,1.51289596,473.81248987,26/03/2020,Wildfire,2006-07,6815,2006,2006/01/01 00:00:00+00,15101.42578125,473.381019469657
6761,Wallaby Rock, ,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/29 00:00:00+00,2.42060912,759.58250166,26/03/2020,Wildfire,2006-07,6816,2006,2006/01/01 00:00:00+00,24161.671875,758.885178744831
6762,Wallaby Rock, ,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/29 00:00:00+00,3700.54092837,73809.969788,26/03/2020,Wildfire,2006-07,6817,2006,2006/01/01 00:00:00+00,36937963.0585938,73742.6931561661
6763,Wallaby Rock, ,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/29 00:00:00+00,3.86373116,789.78332591,26/03/2020,Wildfire,2006-07,6818,2006,2006/01/01 00:00:00+00,38566.96484375,789.063886217154
6764,Stoney Waterhole,06112118969,2006-07 Wildfire,2006/11/21 00:00:00+00,2007/01/04 00:00:00+00,13071.8966709,108661.469939,26/03/2020,Wildfire,2006-07,6819,2006,2006/01/01 00:00:00+00,130472309.875,108558.852065707
6765,"Tablelands Road, Wentworth Fal",BMR-06-002,2006-07 Wildfire,2006/09/22 00:00:00+00,2006/09/23 00:00:00+00,12.02606102,1277.67648337,26/03/2020,Wildfire,2006-07,6820,2006,2006/01/01 00:00:00+00,120041.71875,1276.51321770581
6766,20 Forrests, ,2006-07 Wildfire,2006/11/19 00:00:00+00,2006/11/28 00:00:00+00,217.37318107,20140.3893098,26/03/2020,Wildfire,2006-07,6821,2006,2006/01/01 00:00:00+00,2169720.125,20121.7957418125
6767,Wondabyne Fire,06112819137,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/11/28 00:00:00+00,1.00238926,388.90481928,26/03/2020,Wildfire,2006-07,6822,2006,2006/01/01 00:00:00+00,10005.05859375,388.539529279174
6768,Wedderburn Fire, ,2006-07 Wildfire,2006/11/29 00:00:00+00,2006/12/01 00:00:00+00,0.29210945,265.4656483,26/03/2020,Wildfire,2006-07,6823,2006,2006/01/01 00:00:00+00,2916.2265625,265.244768183801
6769,Little Mogo Creek,06112919241,2006-07 Wildfire,2006/11/29 00:00:00+00,2006/12/03 00:00:00+00,2.03401771,568.52532551,26/03/2020,Wildfire,2006-07,6824,2006,2006/01/01 00:00:00+00,20301.671875,567.987080721287
6770,Mt Simpson,06112919201,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/03 00:00:00+00,20.38885428,1971.28772434,26/03/2020,Wildfire,2006-07,6825,2006,2006/01/01 00:00:00+00,203504.3671875,1969.42952749535
6771,Stevey's Forest Oakdale,SSR/2006/10,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/06 00:00:00+00,38.3759505,2826.77931864,26/03/2020,Wildfire,2006-07,6826,2006,2006/01/01 00:00:00+00,383107.47265625,2824.37706711379
6772,Dun Dun 2, ,2006-07 Wildfire,2006/12/09 00:00:00+00,2006/12/10 00:00:00+00,1.45727738,487.1290159,26/03/2020,Wildfire,2006-07,6827,2006,2006/01/01 00:00:00+00,14545.74609375,486.677027887503
6773,Grathlyn, ,2006-07 Wildfire,2006/12/10 00:00:00+00,2006/12/11 00:00:00+00,0.48435605,268.93494185,26/03/2020,Wildfire,2006-07,6828,2006,2006/01/01 00:00:00+00,4834.56640625,268.685226567663
6774,"Bush Fire - Cranebrook Road, L", ,2006-07 Wildfire,2006/12/11 00:00:00+00,2006/12/15 00:00:00+00,327.89639186,7938.52959631,26/03/2020,Wildfire,2006-07,6829,2006,2006/01/01 00:00:00+00,3272939.3984375,7931.23332455883
6775,Burkes Creek,06122119559,2006-07 Wildfire,2006/12/21 00:00:00+00,2006/12/22 00:00:00+00,34.95381121,3175.27265608,26/03/2020,Wildfire,2006-07,6830,2006,2006/01/01 00:00:00+00,348887.74609375,3172.31729059618
6776,Veterans Pde, ,2006-07 Wildfire,2006/12/22 00:00:00+00,2006/12/23 00:00:00+00,6.41066566,1320.86778492,26/03/2020,Wildfire,2006-07,6831,2006,2006/01/01 00:00:00+00,63989.25390625,1319.6577245786
6777,Veterans Pde, ,2006-07 Wildfire,2006/12/22 00:00:00+00,2006/12/23 00:00:00+00,0.43975386,254.43879562,26/03/2020,Wildfire,2006-07,6832,2006,2006/01/01 00:00:00+00,4389.5,254.20596033427
6778,Veterans Pde, ,2006-07 Wildfire,2006/12/22 00:00:00+00,2006/12/23 00:00:00+00,0.32814009,246.84490039,26/03/2020,Wildfire,2006-07,6833,2006,2006/01/01 00:00:00+00,3275.390625,246.618845613675
6779,Yarramung Creek, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/11/23 00:00:00+00,1.20690181,415.37712209,26/03/2020,Wildfire,2006-07,6834,2006,2006/01/01 00:00:00+00,12048.63671875,415.026193615702
6780,Biriganbil - Ford's Place, ,2006-07 Wildfire,2006/08/23 00:00:00+00,2006/08/24 00:00:00+00,25.79527511,2023.3058215,26/03/2020,Wildfire,2006-07,6835,2006,2006/01/01 00:00:00+00,257521.69140625,2021.61461130315
6781,Zig Zag Fire, ,2006-07 Wildfire,2006/11/29 00:00:00+00,2006/12/08 00:00:00+00,384.53941674,10659.486852,26/03/2020,Wildfire,2006-07,6836,2006,2006/01/01 00:00:00+00,3838164.7265625,10649.4614595434
6782,Worleys Creek,06112919230,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/08 00:00:00+00,213.41410199,8277.15189342,26/03/2020,Wildfire,2006-07,6837,2006,2006/01/01 00:00:00+00,2130101.3515625,8269.314573692
6783,Worleys Creek,06112919230,2006-07 Wildfire,2006/11/28 00:00:00+00,2006/12/08 00:00:00+00,521.27889576,21840.7861346,26/03/2020,Wildfire,2006-07,6838,2006,2006/01/01 00:00:00+00,5202919.46875,21820.1018727824
6784,Crumps Rd Corrabare, ,2006-07 Wildfire,2006/12/13 00:00:00+00,2006/12/15 00:00:00+00,4.71675398,843.80730799,26/03/2020,Wildfire,2006-07,6839,2006,2006/01/01 00:00:00+00,47079.515625,843.019503248401
6785,Webbs Creek,06121319483,2006-07 Wildfire,2006/12/11 00:00:00+00,2006/12/18 00:00:00+00,15.84273027,1551.55706973,26/03/2020,Wildfire,2006-07,6840,2006,2006/01/01 00:00:00+00,158127.31640625,1550.08745116193
6786,Rush Creek,06121319482,2006-07 Wildfire,2006/12/11 00:00:00+00,2006/12/18 00:00:00+00,1.69838113,486.09748947,26/03/2020,Wildfire,2006-07,6841,2006,2006/01/01 00:00:00+00,16951.65234375,485.637119200244
6787,Adams Road, ,2006-07 Wildfire,2006/12/19 00:00:00+00,2006/12/20 00:00:00+00,22.9742287,3006.96626956,26/03/2020,Wildfire,2006-07,6842,2006,2006/01/01 00:00:00+00,229332.81640625,3004.28502732696
6788,Pleasure Point HR, ,2006-07 Wildfire,2006/12/22 00:00:00+00,2006/12/22 00:00:00+00,0.12146483,162.02129932,26/03/2020,Wildfire,2006-07,6843,2006,2006/01/01 00:00:00+00,1212.52734375,161.879913952209
6789,Camelot, ,2006-07 Wildfire,2006/07/11 00:00:00+00,2006/07/11 00:00:00+00,30.57258791,2316.90088223,26/03/2020,Wildfire,2006-07,6844,2006,2006/01/01 00:00:00+00,305202.7734375,2314.91792596988
6790,Sheppards Drive,06082218072,2006-07 Wildfire,2006/08/22 00:00:00+00,2006/08/23 00:00:00+00,27.21734263,2511.64293236,26/03/2020,Wildfire,2006-07,6845,2006,2006/01/01 00:00:00+00,271670.28125,2509.32027934337
6791,Stony Hill,06082318097,2006-07 Wildfire,2006/08/23 00:00:00+00,2006/08/24 00:00:00+00,138.19728073,4910.95354816,26/03/2020,Wildfire,2006-07,6846,2006,2006/01/01 00:00:00+00,1379427.79296875,4906.42951361795
6792,Blackwall Mountain,06091818251,2006-07 Wildfire,2006/09/18 00:00:00+00,2006/09/18 00:00:00+00,0.74673605,363.72240447,26/03/2020,Wildfire,2006-07,6847,2006,2006/01/01 00:00:00+00,7453.34765625,363.381120603989
6793,s44 - Redhead fire,06092418329,2006-07 Wildfire,2006/09/24 00:00:00+00,2006/09/25 00:00:00+00,209.03871188,8983.41580793,26/03/2020,Wildfire,2006-07,6848,2006,2006/01/01 00:00:00+00,2086471.25390625,8974.99709846239
6794,Spring Farm, ,2006-07 Wildfire,2006/09/24 00:00:00+00,2006/09/29 00:00:00+00,60.67104166,4313.44637447,26/03/2020,Wildfire,2006-07,6849,2006,2006/01/01 00:00:00+00,605681.9921875,4309.78895936938
6795,Heddon Greta,06101218512,2006-07 Wildfire,2006/10/12 00:00:00+00,2006/10/14 00:00:00+00,28.35739414,2173.07646348,26/03/2020,Wildfire,2006-07,6850,2006,2006/01/01 00:00:00+00,283055.2734375,2171.08824416227
6796,Cowparlor,06101218522,2006-07 Wildfire,2006/10/12 00:00:00+00,2006/10/16 00:00:00+00,1.30301632,448.29155949,26/03/2020,Wildfire,2006-07,6851,2006,2006/01/01 00:00:00+00,13007.12890625,447.895272614311
6797,Cordeaux Road - Mt Kembla, ,2006-07 Wildfire,2006/10/30 00:00:00+00,2006/10/31 00:00:00+00,14.60723513,1520.0019028,26/03/2020,Wildfire,2006-07,6852,2006,2006/01/01 00:00:00+00,145856.9296875,1518.88053860606
6798,Harris Creek Fire, ,2006-07 Wildfire,2006/10/29 00:00:00+00,2006/11/03 00:00:00+00,19.50772714,1986.88669249,26/03/2020,Wildfire,2006-07,6853,2006,2006/01/01 00:00:00+00,194740.3515625,1985.16999043411
6799,Myrtle Creek, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/11/24 00:00:00+00,3.10004258,787.73179071,26/03/2020,Wildfire,2006-07,6854,2006,2006/01/01 00:00:00+00,30947.19140625,787.055156056147
6800,Razorback - Cherry Tree Hill, ,2006-07 Wildfire,2006/09/24 00:00:00+00,2006/09/27 00:00:00+00,4.83370658,805.61833995,26/03/2020,Wildfire,2006-07,6855,2006,2006/01/01 00:00:00+00,48246.4375,804.862761461027
6801,Tuckermans Road, ,2006-07 Wildfire,2006/09/24 00:00:00+00,2006/09/27 00:00:00+00,4.75252886,804.41760303,26/03/2020,Wildfire,2006-07,6856,2006,2006/01/01 00:00:00+00,47442.6328125,803.71780717007
6802,The Woolwash (Army Range), ,2006-07 Wildfire,2006/09/17 00:00:00+00,2006/09/27 00:00:00+00,95.54445979,4687.71142881,26/03/2020,Wildfire,2006-07,6857,2006,2006/01/01 00:00:00+00,953833.6796875,4683.75736207523
6803,O'Hares, ,2006-07 Wildfire,2006/09/24 00:00:00+00,2006/10/03 00:00:00+00,28.76548808,3115.93493361,26/03/2020,Wildfire,2006-07,6858,2006,2006/01/01 00:00:00+00,287170.63671875,3113.31144860076
6804,Walkers Ridge Fire,06092318320,2006-07 Wildfire,2006/09/23 00:00:00+00,2006/10/04 00:00:00+00,102.8006054,11435.6692,26/03/2020,Wildfire,2006-07,6859,2006,2006/01/01 00:00:00+00,1026070.46875,11424.896324929
6805,Walkers Ridge Fire,06092318320,2006-07 Wildfire,2006/09/23 00:00:00+00,2006/10/04 00:00:00+00,56.6126401,6161.58952932,26/03/2020,Wildfire,2006-07,6860,2006,2006/01/01 00:00:00+00,565057.92578125,6155.77211991354
6806,Walkers Ridge Fire,06092318320,2006-07 Wildfire,2006/09/23 00:00:00+00,2006/10/04 00:00:00+00,23.64634762,1907.54045125,26/03/2020,Wildfire,2006-07,6861,2006,2006/01/01 00:00:00+00,236018.45703125,1905.74462536122
6807,Walkers Ridge Fire,06092318320,2006-07 Wildfire,2006/09/23 00:00:00+00,2006/10/04 00:00:00+00,18.47306881,4545.24136961,26/03/2020,Wildfire,2006-07,6862,2006,2006/01/01 00:00:00+00,184382.3359375,4540.95349906771
6808,Nattai,SSR/2006/05,2006-07 Wildfire,2006/10/14 00:00:00+00,2006/10/17 00:00:00+00,9.05647767,1099.36211395,26/03/2020,Wildfire,2006-07,6863,2006,2006/01/01 00:00:00+00,90410.55859375,1098.42566521432
6809,Cecil Hills, ,2006-07 Wildfire,2006/10/14 00:00:00+00,2006/10/17 00:00:00+00,39.2278481,3425.67335547,26/03/2020,Wildfire,2006-07,6864,2006,2006/01/01 00:00:00+00,391580.8046875,3422.62534227644
6810,Cecil Hills, ,2006-07 Wildfire,2006/10/14 00:00:00+00,2006/10/17 00:00:00+00,0.18862169,202.95393439,26/03/2020,Wildfire,2006-07,6865,2006,2006/01/01 00:00:00+00,1882.859375,202.773381193872
6811,Cecil Hills, ,2006-07 Wildfire,2006/10/14 00:00:00+00,2006/10/17 00:00:00+00,1.31357389,514.10142838,26/03/2020,Wildfire,2006-07,6866,2006,2006/01/01 00:00:00+00,13112.36328125,513.643944469397
6812,Darling Ave, ,2006-07 Wildfire,2006/10/12 00:00:00+00,2006/10/17 00:00:00+00,39.37497919,3316.51707536,26/03/2020,Wildfire,2006-07,6867,2006,2006/01/01 00:00:00+00,393083.9921875,3313.71220639452
6813,Olive Patch, ,2006-07 Wildfire,2006/10/27 00:00:00+00,2006/10/27 00:00:00+00,6.7441863,1004.78760701,26/03/2020,Wildfire,2006-07,6868,2006,2006/01/01 00:00:00+00,67323.8984375,1003.90851755696
6814,Cranebrook, ,2006-07 Wildfire,2006/10/30 00:00:00+00,2006/10/30 00:00:00+00,11.90742106,1692.47105547,26/03/2020,Wildfire,2006-07,6869,2006,2006/01/01 00:00:00+00,118856.25,1690.92139459861
6815,Wollondilly Complex,SSR/2006/07,2006-07 Wildfire,2006/09/24 00:00:00+00,2006/11/08 00:00:00+00,264.21446587,10635.0889222,26/03/2020,Wildfire,2006-07,6870,2006,2006/01/01 00:00:00+00,2637873.1640625,10626.4846395779
6816,Mount Penny, ,2006-07 Wildfire,2006/11/22 00:00:00+00,2006/11/23 00:00:00+00,1.19022643,452.20362127,26/03/2020,Wildfire,2006-07,6871,2006,2006/01/01 00:00:00+00,11882.33203125,451.824705301261
6817,GRROS - Airds, ,2006-07 Wildfire,2006/11/27 00:00:00+00,2006/11/27 00:00:00+00,7.37373588,1248.34966393,26/03/2020,Wildfire,2006-07,6872,2006,2006/01/01 00:00:00+00,73612.89453125,1247.29545893795
6818,Mulvanes Creek,06112319049,2006-07 Wildfire,2006/11/23 00:00:00+00,2006/11/29 00:00:00+00,14.5439954,1611.81542541,26/03/2020,Wildfire,2006-07,6873,2006,2006/01/01 00:00:00+00,145171.09375,1610.32497809516
6819,The Rock, ,2006-07 Wildfire,2007/01/16 00:00:00+00,2007/01/18 00:00:00+00,1.31529856,496.23327851,26/03/2020,Wildfire,2006-07,6874,2006,2006/01/01 00:00:00+00,13129.296875,495.78615810307
6820,Walkers Ridge Rd,07011319758,2006-07 Wildfire,2007/01/13 00:00:00+00,2007/01/29 00:00:00+00,23.59323812,1972.51360905,26/03/2020,Wildfire,2006-07,6875,2006,2006/01/01 00:00:00+00,235488.83203125,1970.65846867419
6821,Peppin Park, ,2006-07 Wildfire,2007/02/05 00:00:00+00,2007/02/07 00:00:00+00,12.15255221,1701.56811475,26/03/2020,Wildfire,2006-07,6876,2006,2006/01/01 00:00:00+00,121320.203125,1700.12997143908
6822,Guymers, ,2006-07 Wildfire,2007/01/11 00:00:00+00,2007/01/14 00:00:00+00,2.53123522,749.61728665,26/03/2020,Wildfire,2006-07,6877,2006,2006/01/01 00:00:00+00,25264.59375,748.909959427989
6823,Dry Arm,07011319750,2006-07 Wildfire,2007/01/12 00:00:00+00,2007/01/15 00:00:00+00,2.5226315,646.21498838,26/03/2020,Wildfire,2006-07,6878,2006,2006/01/01 00:00:00+00,25179.1171875,645.610261559743
6824,Picnic Grove HR, ,2006-07 Wildfire,2007/01/16 00:00:00+00,2007/01/16 00:00:00+00,3.37793774,850.86540147,26/03/2020,Wildfire,2006-07,6879,2006,2006/01/01 00:00:00+00,33721.10546875,850.131306525715
6825,Andrews Point Trail Fire,07011419778,2006-07 Wildfire,2007/01/14 00:00:00+00,2007/01/19 00:00:00+00,17.27157289,1572.09719379,26/03/2020,Wildfire,2006-07,6880,2006,2006/01/01 00:00:00+00,172389.02734375,1570.60972076798
6826,Scrub Alight - Singleton,07011319747,2006-07 Wildfire,2007/01/13 00:00:00+00,2007/01/22 00:00:00+00,12.30304973,1749.07013638,26/03/2020,Wildfire,2006-07,6881,2006,2006/01/01 00:00:00+00,122815.515625,1747.54132299128
6827,Yarrunga Rd, ,2006-07 Wildfire,2007/01/23 00:00:00+00,2007/01/25 00:00:00+00,23.51921776,2650.23461459,26/03/2020,Wildfire,2006-07,6882,2006,2006/01/01 00:00:00+00,234779.10546875,2647.9062316185
6828,Ward Road Fire, ,2006-07 Wildfire,2007/02/03 00:00:00+00,2007/02/04 00:00:00+00,20.70479471,1717.39747776,26/03/2020,Wildfire,2006-07,6883,2006,2006/01/01 00:00:00+00,206666.3515625,1715.81426869301
6829,Killbride, ,2006-07 Wildfire,2006/08/17 00:00:00+00,2006/08/17 00:00:00+00,3.07481426,786.85687784,26/03/2020,Wildfire,2006-07,6884,2006,2006/01/01 00:00:00+00,30696.6484375,786.19781639495
6830,Ulamarrah, ,2006-07 Wildfire,2007/02/03 00:00:00+00,1970/01/01 00:00:00+00,28.60504375,2028.65773407,26/03/2020,Wildfire,2006-07,6885,2006,2006/01/01 00:00:00+00,285513.96484375,2026.75443078976
6831,Cannibal Mountain, ,2006-07 Wildfire,2007/02/07 00:00:00+00,1970/01/01 00:00:00+00,9.50372666,1202.68505078,26/03/2020,Wildfire,2006-07,6886,2006,2006/01/01 00:00:00+00,94868.1015625,1201.61419522339
6832,Licking Hole Creek,BMR-06-080,2006-07 Wildfire,2007/02/18 00:00:00+00,2007/02/22 00:00:00+00,0.76224265,309.49744617,26/03/2020,Wildfire,2006-07,6887,2006,2006/01/01 00:00:00+00,7609.4765625,309.234624037871
6833,Wocaco,BMR-06-078,2006-07 Wildfire,2007/02/08 00:00:00+00,2007/02/11 00:00:00+00,0.83926716,324.75852616,26/03/2020,Wildfire,2006-07,6888,2006,2006/01/01 00:00:00+00,8376.8125,324.450969813763
6834,Reedy Creek,BMR-06-066,2006-07 Wildfire,2007/02/03 00:00:00+00,1970/01/01 00:00:00+00,0.34101675,207.01332743,26/03/2020,Wildfire,2006-07,6889,2006,2006/01/01 00:00:00+00,3403.76953125,206.817653293891
6835,Blood Filly,BMR-06-062,2006-07 Wildfire,2007/01/18 00:00:00+00,1970/01/01 00:00:00+00,0.44696466,236.99928799,26/03/2020,Wildfire,2006-07,6890,2006,2006/01/01 00:00:00+00,4461.640625,236.786731130783
6836,Mount Moogan,BMR-06-061,2006-07 Wildfire,2007/01/17 00:00:00+00,1970/01/01 00:00:00+00,0.43419397,233.58897618,26/03/2020,Wildfire,2006-07,6891,2006,2006/01/01 00:00:00+00,4334.7109375,233.39449937072
6837,Pearces Mountain,BMR-06-060,2006-07 Wildfire,2007/01/17 00:00:00+00,1970/01/01 00:00:00+00,0.80038604,317.14670116,26/03/2020,Wildfire,2006-07,6892,2006,2006/01/01 00:00:00+00,7989.59375,316.8640562707
6838,Culoul Range,BMR-06-055,2006-07 Wildfire,2007/01/14 00:00:00+00,2007/01/16 00:00:00+00,0.6093391,276.71963026,26/03/2020,Wildfire,2006-07,6893,2006,2006/01/01 00:00:00+00,6081.87109375,276.457555530046
6839,Tinda Creek,BMR-06-054,2006-07 Wildfire,2007/01/14 00:00:00+00,2007/01/21 00:00:00+00,2.89009126,602.65147388,26/03/2020,Wildfire,2006-07,6894,2006,2006/01/01 00:00:00+00,28846.27734375,602.081104304072
6840,Boori Creek,BMR-06-053,2006-07 Wildfire,2007/01/13 00:00:00+00,1970/01/01 00:00:00+00,1.67533917,458.84057545,26/03/2020,Wildfire,2006-07,6895,2006,2006/01/01 00:00:00+00,16721.66796875,458.405906852488
6841,Pinchgut Creek,BMR-06-052,2006-07 Wildfire,2007/01/13 00:00:00+00,1970/01/01 00:00:00+00,0.90863977,337.9141014,26/03/2020,Wildfire,2006-07,6896,2006,2006/01/01 00:00:00+00,9069.16015625,337.593970229152
6842,Camp Creek,BMR-06-051,2006-07 Wildfire,2007/01/13 00:00:00+00,1970/01/01 00:00:00+00,1.01523154,357.184822,26/03/2020,Wildfire,2006-07,6897,2006,2006/01/01 00:00:00+00,10133.1015625,356.8464391638
6843,Fish Hill,BMR-06-050,2006-07 Wildfire,2007/01/13 00:00:00+00,1970/01/01 00:00:00+00,1.10231582,372.18894253,26/03/2020,Wildfire,2006-07,6898,2006,2006/01/01 00:00:00+00,11002.25390625,371.836458306509
6844,Widden Brook,BMR-06-045,2006-07 Wildfire,2006/11/28 00:00:00+00,1970/01/01 00:00:00+00,1.20993119,389.9337098,26/03/2020,Wildfire,2006-07,6899,2006,2006/01/01 00:00:00+00,12077.296875,389.579396853495
6845,Razorback Creek,BMR-06-042,2006-07 Wildfire,2006/11/28 00:00:00+00,1970/01/01 00:00:00+00,1.29665756,403.66685797,26/03/2020,Wildfire,2006-07,6900,2006,2006/01/01 00:00:00+00,12942.88671875,403.297426850843
6846,Hopping Harrys Hollow,BMR-06-039,2006-07 Wildfire,2006/11/28 00:00:00+00,1970/01/01 00:00:00+00,0.65504813,286.91090283,26/03/2020,Wildfire,2006-07,6901,2006,2006/01/01 00:00:00+00,6538.45703125,286.648034868212
6847,Hool em Boy Point,BMR-06-038,2006-07 Wildfire,2006/11/28 00:00:00+00,1970/01/01 00:00:00+00,1.36007625,413.4205622,26/03/2020,Wildfire,2006-07,6902,2006,2006/01/01 00:00:00+00,13576.29296875,413.048664716106
6848,Dairy Mountain,BMR-06-036,2006-07 Wildfire,2006/11/13 00:00:00+00,1970/01/01 00:00:00+00,1.55472034,442.01456972,26/03/2020,Wildfire,2006-07,6903,2006,2006/01/01 00:00:00+00,15519.10546875,441.614528971661
6849,Sunnyside Ridge,BMR-06-030,2006-07 Wildfire,2006/12/30 00:00:00+00,2007/01/03 00:00:00+00,1.40573101,420.30209862,26/03/2020,Wildfire,2006-07,6904,2006,2006/01/01 00:00:00+00,14030.70703125,419.903961022711
6850,Clews Ridge,BMR-06-029,2006-07 Wildfire,2006/12/11 00:00:00+00,2006/12/20 00:00:00+00,1.07377282,367.33866886,26/03/2020,Wildfire,2006-07,6905,2006,2006/01/01 00:00:00+00,10717.390625,366.991084322585
6851,Angorawa,06121119453,2006-07 Wildfire,2006/12/11 00:00:00+00,2006/12/16 00:00:00+00,1.45031809,426.91565118,26/03/2020,Wildfire,2006-07,6906,2006,2006/01/01 00:00:00+00,14475.703125,426.511437632827
6852,Tambo Creek,BMR-06-049,2006-07 Wildfire,2007/01/13 00:00:00+00,1970/01/01 00:00:00+00,15.93000262,1995.29645134,26/03/2020,Wildfire,2006-07,6907,2006,2006/01/01 00:00:00+00,158998.359375,1993.40618611189
6853,Stockyard Creek,BMR-06-044/0607-43,2006-07 Wildfire,2006/11/23 00:00:00+00,1970/01/01 00:00:00+00,11.32948773,1613.30012751,26/03/2020,Wildfire,2006-07,6908,2006,2006/01/01 00:00:00+00,113100.375,1611.91460591649
6854,Quarry,SSR/2006/02,2006-07 Wildfire,2006/09/04 00:00:00+00,1970/01/01 00:00:00+00,8.86829497,1137.03850101,26/03/2020,Wildfire,2006-07,6909,2006,2006/01/01 00:00:00+00,88551.95703125,1136.19853159523
6855,Burning Palms,SSR/2006/04,2006-07 Wildfire,2006/10/08 00:00:00+00,2006/10/08 00:00:00+00,0.25724449,179.79743503,26/03/2020,Wildfire,2006-07,6910,2006,2006/01/01 00:00:00+00,2568.2265625,179.650324712353
6856,Number One Gate,SSR/2006/11,2006-07 Wildfire,2006/11/29 00:00:00+00,1970/01/01 00:00:00+00,1.13521513,377.70221485,26/03/2020,Wildfire,2006-07,6911,2006,2006/01/01 00:00:00+00,11334.61328125,377.410064476581
6857,Yena Picnic Area,SSR/2006/12,2006-07 Wildfire,2006/12/10 00:00:00+00,2006/12/10 00:00:00+00,0.53239412,258.65868906,26/03/2020,Wildfire,2006-07,6912,2006,2006/01/01 00:00:00+00,5314.76171875,258.435621915347
6858,Little River 2,SSR/2006/13,2006-07 Wildfire,2006/12/11 00:00:00+00,2006/12/12 00:00:00+00,3.87732215,698.03369588,26/03/2020,Wildfire,2006-07,6913,2006,2006/01/01 00:00:00+00,38712.53515625,697.487440642786
6859,Stanwell Park,SSR/2006/14,2006-07 Wildfire,2006/12/18 00:00:00+00,2006/12/20 00:00:00+00,4.688087,767.55282718,26/03/2020,Wildfire,2006-07,6914,2006,2006/01/01 00:00:00+00,46805.234375,766.933710420807
